Instrument Name
EUR_ZAR
EUR_PLN
AUD_JPY
USD_CAD
USD_NOK
CAD_SGD
HKD_JPY
  NZD_JPY
   USD_HUF
   CHF_ZAR
   EUR_CZK   
   AUD_HKD   
   GBP_NZD   
   NZD_HKD   
   NZD_CHF   
   USD_SAR   
   GBP_CAD   
   CAD_JPY   
   ZAR_JPY   
   NZD_SGD   
   GBP_ZAR   
   NZD_CAD   
   CAD_HKD   
   SGD_CHF   
   CAD_CHF   
   AUD_SGD   
   EUR_NOK   
   EUR_CHF   
   GBP_USD   
   USD_MXN   
   USD_CHF   
   AUD_CHF   
   EUR_DKK   
   AUD_USD   
   CHF_HKD   
   USD_THB   
   GBP_CHF   
   TRY_JPY   
   AUD_CAD   
   SGD_JPY   
   EUR_NZD   
   USD_HKD   
   EUR_AUD   
   USD_DKK   
   CHF_JPY   
   EUR_SGD   
   USD_SGD   
   EUR_SEK   
   USD_JPY   
   EUR_TRY   
   USD_CZK   
   GBP_AUD   
   USD_PLN   
   EUR_USD   
   AUD_NZD   
   SGD_HKD   
   EUR_HUF   
   NZD_USD   
   USD_CNH   
   EUR_HKD   
   EUR_JPY   
   GBP_PLN   
   GBP_JPY   
   USD_TRY   
   EUR_CAD   
   USD_SEK   
   GBP_SGD   
   EUR_GBP   
   GBP_HKD   
   USD_ZAR   
